meta_score,title,platform,date,user_score,esrb_rating,developers,genres
91,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch,9/27/2019,8.6,T,Square Enix,"Role-Playing, Japanese-Style"
58,Mario Kart Tour,iOS,9/25/2019,3.8,E,Nintendo,"Racing, Arcade, Automobile"
87,The Legend of Zelda: Links Awakening,Switch,9/20/2019,8.4,E,"Nintendo,  GREZZO","Action Adventure, Open-World"
69,Daemon X Machina,Switch,9/13/2019,7.3,T,"First Studio,  Marvelous First Studio","Simulation, Vehicle, Combat"
,Super Smash Bros. Ultimate: Banjo & Kazooie,Switch,9/4/2019,7.8,E10+,Nintendo,"Action, Fighting, 2D"
74,Super Kirby Clash,Switch,9/4/2019,7.4,E,"Nintendo,  HAL Labs","Action, General"
,Arcade Archives: Pinball,Switch,8/30/2019,,E,Nintendo,"Action, Pinball"
87,Astral Chain,Switch,8/30/2019,8.9,T,PlatinumGames,"Action Adventure, General"
,Super Smash Bros. Ultimate: Hero,Switch,7/30/2019,7.8,E10+,Nintendo,"Action, Fighting, 2D"
89,Fire Emblem: Three Houses,Switch,7/26/2019,8.7,T,"Intelligent Systems,  Koei Tecmo Games","Strategy, Turn-Based, Tactics"
73,Marvel Ultimate Alliance 3: The Black Order,Switch,7/19/2019,7.3,T,Team Ninja,"Role-Playing, Action RPG"
58,Dr. Mario World,iOS,7/10/2019,3.4,,"Nintendo,  LINE Corporation","Puzzle, Action"
,Arcade Archives: Clu Clu Land,Switch,6/28/2019,,E,Nintendo,"Action, Arcade"
88,Super Mario Maker 2,Switch,6/28/2019,8.5,E,Nintendo,"Action, Platformer, 2D"
85,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Switch,6/13/2019,8.1,E,Brace Yourself Games,"Action, Rhythm, Music"
71,Nintendo Labo: Toycon 04 VR Kit,Switch,5/12/2019,6.5,E10+,Nintendo,"Action, General"
,Tetris 99: Big Block,Switch,5/10/2019,6,E,Arika,"Puzzle, Stacking"
81,BoxBoy! + BoxGirl!,Switch,4/26/2019,7.9,E,HAL Labs,"Puzzle, Action"
,Super Smash Bros. Ultimate: Joker,Switch,4/17/2019,8.1,E10+,Nintendo,"Action, Fighting, 2D"
79,Yoshis Crafted World,Switch,3/28/2019,8,E,Good-Feel,"Action, Platformer, 3D"
