meta_score,title,platform,date,user_score,esrb_rating,developers,genres
,Teddy Together,3DS,7/1/2016,,,Arika,"Action, General"
80,BoxBoxBoy!,3DS,6/30/2016,7.9,E,HAL Labs,"Puzzle, Action"
,Hyrule Warriors Legends: Links Awakening Pack,3DS,6/30/2016,,,Omega Force,"Action, ""Beat-Em-Up"", 3D"
80,Tokyo Mirage Sessions #FE,WIIU,6/24/2016,7.9,T,Atlus,"General, Fantasy, Role-Playing, Strategy, Turn-Based, Japanese-Style, General"
65,Mario & Sonic at the Rio 2016 Olympic Games,WIIU,6/24/2016,7.9,E10+,"Nintendo,  Sega Sports R&D","Sports, Individual, Athletics"
,Tokyo Mirage Sessions #FE - EXPedition Hunter,WIIU,6/24/2016,,T,Atlus,"Role-Playing, Japanese-Style"
,Tokyo Mirage Sessions #FE - Masterful Hunter,WIIU,6/24/2016,,T,Atlus,"Role-Playing, Japanese-Style"
,Tokyo Mirage Sessions #FE - Savage Hunter,WIIU,6/24/2016,,T,Atlus,"Role-Playing, Japanese-Style"
,Tokyo Mirage Sessions #FE - Tokyo Millennium Collection,WIIU,6/24/2016,,T,Atlus,"Role-Playing, Japanese-Style"
83,Rhythm Heaven Megamix,3DS,6/15/2016,8.1,E,Nintendo,"Action, Rhythm, Music"
81,Kirby: Planet Robobot,3DS,6/10/2016,8.5,E,HAL Labs,"Action, Platformer, 2D"
,Team Kirby Clash,3DS,6/10/2016,6.4,E,HAL Labs,"Action, Fighting, 2D"
,Hyrule Warriors Legends: Master Wind Waker Pack,3DS,5/19/2016,,,Omega Force,"Action, ""Beat-Em-Up"", 3D"
72,Disney Art Academy,3DS,5/13/2016,7.1,E,Headstrong Games,"Miscellaneous, Edutainment, Application"
83,Pocket Card Jockey,3DS,5/5/2016,8,E10+,Game Freak,"Miscellaneous, Board / Card Game"
69,Star Fox Zero,WIIU,4/22/2016,7.4,E10+,PlatinumGames,"Action, Third-Person, Shooter, Modern, Rail, Simulation, Space, Combat"
74,Star Fox Guard,WIIU,4/22/2016,7.3,E10+,"Nintendo,  PlatinumGames","Action, First-Person, Sci-Fi, Shooter, Strategy, Real-Time, Defense"
,Star Fox Zero Double Pack,WIIU,4/22/2016,8,E10+,"Nintendo,  PlatinumGames","Miscellaneous, Compilation"
81,Bravely Second: End Layer,3DS,4/15/2016,8.2,T,Silicon Studio,"Role-Playing, Japanese-Style"
72,Miitomo,iOS,3/31/2016,7,,Nintendo,"Simulation, Virtual, Virtual Life"
,My Nintendo Picross - The Legend of Zelda: Twilight Princess,3DS,3/30/2016,7.3,E,Nintendo,"Puzzle, Logic"
70,Hyrule Warriors Legends,3DS,3/25/2016,7.4,T,Omega Force,"Action, ""Beat-Em-Up"", 3D"
,Mini-Mario & Friends: amiibo Challenge,WIIU,3/25/2016,6.9,E,"Nintendo,  Nintendo Software Technology","Puzzle, Action"
,Mini-Mario & Friends: amiibo Challenge,3DS,3/25/2016,6.8,E,"Nintendo,  Nintendo Software Technology","Puzzle, Action"
60,Mario & Sonic at the Rio 2016 Olympic Games,3DS,3/18/2016,6.9,E10+,"Nintendo,  Sega Sports R&D","Sports, Individual, Athletics"
76,Pokken Tournament,WIIU,3/18/2016,7.3,E10+,Bandai Namco Games,"Action, Fighting, 3D"
88,Fire Emblem Fates: Revelation,3DS,3/10/2016,7.4,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
86,The Legend of Zelda: Twilight Princess HD,WIIU,3/4/2016,8.5,T,"Tantalus,  Tantatus,  Nintendo","Action Adventure, General, Open-World"
87,Fire Emblem Fates: Conquest,3DS,2/19/2016,8.1,T,Intelligent Systems,"Fantasy, Strategy, Turn-Based, Tactics"
86,Fire Emblem Fates: Birthright,3DS,2/19/2016,8.2,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
88,Fire Emblem Fates: Special Edition,3DS,2/19/2016,8.1,T,Intelligent Systems,"Strategy, Turn-Based, Tactics"
76,Mario & Luigi: Paper Jam,3DS,1/22/2016,7.4,E,"Nintendo,  Alphadream Corporation","Role-Playing, Japanese-Style"
84,Xenoblade Chronicles X,WIIU,12/4/2015,9.1,T,Monolith Soft,"Action RPG, Role-Playing, Action RPG"
75,Pokemon Picross,3DS,12/3/2015,7.5,E,"Nintendo,  Jupiter Corporation","Miscellaneous, General, Puzzle, Logic"
69,Pokemon Super Mystery Dungeon,3DS,11/20/2015,8.3,E,"Spike Chunsoft Co. Ltd.,  Spike Chunsoft","Role-Playing, Roguelike"
58,Mario Tennis: Ultra Smash,WIIU,11/20/2015,5.2,E,"Nintendo,  Camelot Software Planning","Sports, Individual, Tennis"
46,Animal Crossing: amiibo Festival,WIIU,11/13/2015,4.1,E,"Nintendo,  Nd Cube","Miscellaneous, Board / Card Game"
56,Nintendo Badge Arcade,3DS,11/10/2015,4.3,E,Nintendo,"Miscellaneous, General"
76,Yo-kai Watch,3DS,11/6/2015,8,E10+,Level 5,"Japanese-Style, Role-Playing, Trainer"
73,The Legend of Zelda: Tri Force Heroes,3DS,10/23/2015,7.5,E,Nintendo,"Action Adventure, Open-World"
67,Fatal Frame: Maiden of Black Water,WIIU,10/22/2015,7.8,M,Koei Tecmo Games,"Action, General, Horror, Action Adventure, Survival"
78,Yoshis Woolly World,WIIU,10/16/2015,8.5,E,Good-Feel,"Action Adventure, Platformer, 2D, Fantasy, Action, Platformer, 2D"
59,Chibi-Robo! Zip Lash,3DS,10/9/2015,5.7,E,"Nintendo,  Skip Ltd.","Action, Platformer, 2D"
66,Animal Crossing: Happy Home Designer,3DS,9/25/2015,6.9,E,Nintendo,"Simulation, Virtual, Career"
88,Super Mario Maker,WIIU,9/11/2015,8.7,E,Nintendo,"Action, Platformer, 2D"
62,Pokemon Shuffle Mobile,iOS,8/31/2015,6.4,,Genius Sonority Inc.,"Puzzle, Matching"
43,Devils Third,WIIU,8/28/2015,6.7,M,Valhalla Game Studios,"Action Adventure, General, Modern, Action, Shooter, Third-Person, Arcade"
73,LBX: Little Battlers eXperience,3DS,8/21/2015,7.4,E10+,Level 5,"Action, Role-Playing, General, Action RPG"
82,Art Academy: Home Studio,WIIU,6/25/2015,7.9,E,Headstrong Games,"Miscellaneous, Edutainment"
,Earthbound Beginnings,WIIU,6/14/2015,8.4,,Pax Softonica,"Role-Playing, Japanese-Style"
,Smash Controller,3DS,6/14/2015,,,Nintendo,"Miscellaneous, Application"
69,Dr. Mario: Miracle Cure,3DS,6/11/2015,6.8,E,Nintendo,"Puzzle, Stacking"
81,Splatoon,WIIU,5/29/2015,8.7,E10+,Nintendo,"Fantasy, Action, Shooter, Third-Person, Arcade"
73,Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition,3DS,5/22/2015,7.6,E,GungHo,"Miscellaneous, Compilation"
83,Stretchmo,3DS,5/14/2015,7.9,E,Intelligent Systems,"Puzzle, Action"
,amiibo Tap: Nintendos Greatest Bits,WIIU,4/30/2015,7.6,E,Nintendo,"Miscellaneous, Application"
,Super Smash Bros. for Nintendo 3DS / Wii U: Mewtwo,3DS,4/28/2015,,,Bandai Namco Games,"Action, Fighting, 2D"
,Super Smash Bros. for Nintendo 3DS / Wii U: Mewtwo,WIIU,4/28/2015,,,Bandai Namco Games,"Action, Fighting, 2D"
90,Mario Kart 8 DLC Pack 2,WIIU,4/23/2015,8.9,E,Nintendo,"Driving, Kart, Racing, Arcade, Automobile"
86,Xenoblade Chronicles 3D,3DS,4/10/2015,8.8,T,Monster Games Inc.,"Role-Playing, Action RPG"
58,Pokemon Rumble World,3DS,4/8/2015,6.1,E10+,"Ambrella,  The Pokemon Company","Action, General, ""Beat-Em-Up"", 3D"
80,BOXBOY!,3DS,4/2/2015,8.1,E,HAL Labs,"Puzzle, Action"
66,Mario Party 10,WIIU,3/20/2015,6.4,E,"Nintendo,  Nd Cube","Party, Miscellaneous, Party / Minigame"
57,Fossil Fighters: Frontier,3DS,3/20/2015,5.1,E10+,"RED Entertainment,  Spike Chunsoft","Role-Playing, General, Trainer"
69,Code Name: S.T.E.A.M.,3DS,3/13/2015,7.8,,,
,Hyrule Warriors: Boss Pack,WIIU,3/12/2015,7.6,,Tecmo Koei Games,"Action, ""Beat-Em-Up"", 3D"
70,Mario vs. Donkey Kong: Tipping Stars,WIIU,3/5/2015,7.5,E,"Nintendo,  Nintendo Software Technology","Puzzle, Action, Platformer, 2D"
70,Mario vs. Donkey Kong: Tipping Stars,3DS,3/5/2015,7.4,E,"Nintendo,  Nintendo Software Technology","Puzzle, Action, Platformer, 2D"
73,Kirby and the Rainbow Curse,WIIU,2/20/2015,8,E,HAL Labs,"Action, Platformer, 2D"
56,Pokemon Shuffle,3DS,2/18/2015,6.1,E,Genius Sonority Inc.,"Puzzle, Matching"
89,The Legend of Zelda: Majoras Mask 3D,3DS,2/13/2015,8.9,E10+,GREZZO,"Fantasy, Action Adventure, Open-World"
,Flipnote Studio 3D,3DS,2/10/2015,6.9,E,Nintendo,"Miscellaneous, General, General, Application"
,Hyrule Warriors: Majoras Mask Pack,WIIU,2/5/2015,8,,Tecmo Koei Games,"Action, ""Beat-Em-Up"", 3D"
81,Captain Toad: Treasure Tracker,WIIU,12/5/2014,8.6,E,Nintendo EAD Tokyo ,"Action, Platformer, 3D"
,NES Remix Pack,WIIU,12/5/2014,8.6,E,indieszero,"Miscellaneous, Compilation"
,Hyrule Warriors: Twilight Princess Pack,WIIU,11/26/2014,8.3,T,Tecmo Koei Games,"Action, ""Beat-Em-Up"", 3D"
92,Super Smash Bros. for Wii U,WIIU,11/21/2014,8.9,E10+,Bandai Namco Games,"Action, Fighting, Fighting, 3D, 2D, 2D, 3D"
82,Pokemon Alpha Sapphire,3DS,11/21/2014,7.4,E,Game Freak,"Role-Playing, Console-style RPG, Japanese-Style, Trainer"
83,Pokemon Omega Ruby,3DS,11/21/2014,7.4,E,Game Freak,"Role-Playing, Console-style RPG, Japanese-Style, Trainer"
,Pokemon Omega Ruby/Alpha Sapphire Double Pack,3DS,11/21/2014,7.2,E,Game Freak,"Role-Playing, Console-style RPG, Japanese-Style, Trainer"
87,Mario Kart 8 DLC Pack 1,WIIU,11/13/2014,8.9,E,Nintendo,"Driving, Racing, Arcade, Kart, Automobile"
69,Ultimate NES Remix,3DS,11/7/2014,7.7,E,indieszero,"Miscellaneous, General"
76,Pokemon Art Academy,3DS,10/24/2014,7.7,E,Headstrong Games,"Miscellaneous, General, Edutainment"
86,Bayonetta,WIIU,10/24/2014,8.8,M,Bee Tribe,"Action, Fantasy, ""Beat-Em-Up"", Action Adventure, Linear"
73,Fantasy Life,3DS,10/24/2014,8.4,E10+,"Level 5,  Brownie Brown","Role-Playing, General"
,Bayonetta + Bayonetta 2,WIIU,10/24/2014,8,M,PlatinumGames,"Miscellaneous, Compilation"
,Hyrule Warriors: Master Quest Pack,WIIU,10/16/2014,7.9,,Tecmo Koei Games,"Action, ""Beat-Em-Up"", 3D"
85,Super Smash Bros. for Nintendo 3DS,3DS,10/3/2014,8.5,E10+,Bandai Namco Games,"Fighting, 3D, 2D, Action, Fighting, 2D, 3D"
76,Hyrule Warriors,WIIU,9/26/2014,8.3,T,Omega Force,"Action, ""Beat-Em-Up"", 3D"
91,Bayonetta 2,WIIU,9/20/2014,8.9,M,PlatinumGames,"Action Adventure, Fantasy, Fantasy, Linear"
79,Professor Layton VS Phoenix Wright Ace Attorney,3DS,8/29/2014,8.2,T,Level 5,"General, Puzzle, Miscellaneous, Puzzle, General"
65,Dededes Drum Dash Deluxe,3DS,8/29/2014,7,E,HAL Labs,"Action, Miscellaneous, Rhythm, Music"
66,Kirby Fighters Deluxe,3DS,8/29/2014,6.8,E,HAL Labs,"Action, Fighting, 2D"
,The Mysterious Murasame Castle,3DS,8/7/2014,,,Nintendo,"Action, General"
80,Pushmo World,WIIU,6/19/2014,8,E,Intelligent Systems,"Miscellaneous, Puzzle, Action, Logic"
75,Inazuma Eleven Go: Shadow,3DS,6/13/2014,7.1,,Level 5,"Sports, Traditional, Soccer, Arcade"
74,Inazuma Eleven Go: Light,3DS,6/13/2014,7.6,,Level 5,"Sports, Traditional, Soccer, Arcade"
71,Tomodachi Life,3DS,6/6/2014,7.7,E,Nintendo,"Simulation, Miscellaneous, General, Virtual, Virtual Life"
88,Mario Kart 8,WIIU,5/30/2014,8.8,E,Nintendo,"Driving, Racing, Arcade, Kart, Kart, Automobile"
,Photos with Mario,3DS,5/18/2014,7,E,Nintendo,"Miscellaneous, General"
80,Kirby: Triple Deluxe,3DS,5/2/2014,8.6,E,HAL Labs,"General, General, Action, Platformer, 2D"
78,Mario Golf: World Tour,3DS,5/2/2014,8.1,E,Camelot Software Planning,"Sports, Traditional, Individual, Golf, Arcade, Arcade"
73,NES Remix 2,WIIU,4/25/2014,8,E,indieszero,"Miscellaneous, General"
65,Nintendo Pocket Football Club,3DS,4/17/2014,7.4,,ParityBit,"Sports, Traditional, Soccer, Arcade"
71,Disney Magical World,3DS,4/11/2014,7.4,E,h.a.n.d. Inc.,"Simulation, Miscellaneous, General, Virtual, Virtual Life"
74,Rustys Real Deal Baseball,3DS,4/3/2014,7.7,E,Nintendo,"Action, General"
70,Pokemon Battle Trozei,3DS,3/20/2014,7.3,E,Genius Sonority Inc.,"Miscellaneous, Puzzle, Matching"
64,Yoshis New Island,3DS,3/14/2014,6.2,E,Arzest,"Action, Platformer, 2D"
81,Professor Layton and the Azran Legacy,3DS,2/28/2014,8.1,E10+,Level 5,"General, Logic, Puzzle, Miscellaneous, Puzzle, General"
83,Donkey Kong Country: Tropical Freeze,WIIU,2/21/2014,8.9,E,Retro Studios,"Platformer, 2D, Action, Platformer, 2D"
70,Inazuma Eleven 3: Team Ogre Attacks!,3DS,2/14/2014,7.3,,Level 5,"Sports, Traditional, Soccer, Arcade"
70,Steel Diver: Sub Wars,3DS,2/13/2014,7.6,E10+,Nintendo,"Simulation, Submarine, Marine, Combat"
85,Bravely Default,3DS,2/7/2014,8.4,T,Silicon Studio,"Console-style RPG, Role-Playing, Console-style RPG, Japanese-Style"
,Poke Transporter,3DS,2/5/2014,,,Game Freak,"Miscellaneous, General, Application"
,Pokemon Bank,3DS,2/5/2014,6.5,E,Game Freak,"Miscellaneous, General"
49,Chibi-Robo! Photo Finder,3DS,1/9/2014,7.7,E,Skip Ltd.,"Action, Action Adventure, General, Fantasy"
65,Dr. Luigi,WIIU,12/31/2013,7.2,E,"Arika,  Nintendo","Miscellaneous, Puzzle, Stacking"
71,NES Remix,WIIU,12/18/2013,7.2,E,indieszero,"Miscellaneous, General"
,Nintendo 3DS Guide: Louvre,3DS,12/2/2013,,,Nintendo,"Miscellaneous, Edutainment, Edutainment"
57,Mario Party: Island Tour,3DS,11/22/2013,6,E,"Nintendo,  Nd Cube","Party, Miscellaneous, Party, Party / Minigame"
91,The Legend of Zelda: A Link Between Worlds,3DS,11/22/2013,9,E,Nintendo,"Action RPG, Role-Playing, Action Adventure, General, Action RPG, Open-World"
93,Super Mario 3D World,WIIU,11/22/2013,8.9,E,Nintendo,"Platformer, 3D, Action, Platformer, 3D"
55,Mario & Sonic at the Sochi 2014 Olympic Winter Games,WIIU,11/15/2013,6.2,E,"Nintendo,  Sega Sports R&D","Sports, Olympic Sports, Olympic Sports, Individual, Athletics"
68,Wii Sports Club,WIIU,11/7/2013,7,E10+,Nintendo,"Sports, General, General"
72,Wii Fit U,WIIU,11/1/2013,7.7,E,Nintendo,"Sports, Miscellaneous, General, Exercise / Fitness"
,New Super Mario Bros. U + New Super Luigi U,WIIU,11/1/2013,8.7,E,Nintendo,"Action, Platformer, 2D"
65,Wii Party U,WIIU,10/25/2013,7,E,Nd Cube,"Miscellaneous, Party, Party, Party / Minigame"
87,Pokemon X,3DS,10/12/2013,7.5,E,Game Freak,"Role-Playing, Console-style RPG, Console-style RPG, Trainer"
88,Pokemon Y,3DS,10/12/2013,7.5,E,Game Freak,"Role-Playing, Console-style RPG, Console-style RPG, Trainer"
70,Inazuma Eleven 3: Lightning Bolt,3DS,9/27/2013,7.2,,Level 5,"Sports, Traditional, Soccer, Arcade"
72,Inazuma Eleven 3: Bomb Blast,3DS,9/27/2013,7.8,,Level 5,"Sports, Traditional, Soccer, Arcade"
90,The Legend of Zelda: The Wind Waker HD,WIIU,9/20/2013,9,E10+,"Nintendo,  HexaDrive","Action Adventure, Fantasy, Fantasy, Open-World"
78,The Wonderful 101,WIIU,9/15/2013,8.6,T,PlatinumGames,"Action, General, General"
49,Pokemon Rumble U,WIIU,8/29/2013,5.2,E,Ambrella,"Action, ""Beat-Em-Up"", ""Beat-Em-Up"", 2D"
81,Mario & Luigi: Dream Team,3DS,8/11/2013,8.2,E10+,Alphadream Corporation,"Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style"
70,Art Academy: SketchPad,WIIU,8/9/2013,6.4,E,Headstrong Games,"Miscellaneous, General, General, Application"
,Animal Crossing Plaza,WIIU,8/7/2013,5.2,,Nintendo,"Miscellaneous, General, Application"
87,Pikmin 3,WIIU,8/4/2013,8.7,E10+,Nintendo,"Strategy, Real-Time, Fantasy, General, Fantasy"
61,Game & Wario,WIIU,6/23/2013,6.5,E,Intelligent Systems,"Miscellaneous, Party, Party, Party / Minigame"
77,New Super Luigi U,WIIU,6/20/2013,8,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
88,Animal Crossing: New Leaf,3DS,6/9/2013,8.7,E,Nintendo,"Simulation, Miscellaneous, Virtual Life, Virtual, Virtual Life"
83,Donkey Kong Country Returns 3D,3DS,5/24/2013,8.2,E,Monster Games Inc.,"Action, General, Platformer, Platformer, 2D, 2D"
,Fire Emblem: Awakening - The Future Past 3,3DS,5/23/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Apotheosis,3DS,5/23/2013,7.5,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Tactics"
,Fire Emblem: Awakening - The Future Past 2,3DS,5/16/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
78,Mario and Donkey Kong: Minis on the Move,3DS,5/9/2013,7.3,E,Nintendo,"Puzzle, Action, Platformer, Platformer, 3D, 3D"
,Fire Emblem: Awakening - The Future Past 1,3DS,5/9/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Hot Spring Scramble,3DS,5/9/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Summer Scramble,3DS,5/2/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Wii U Panorama View,WIIU,4/26/2013,5.4,E,Nintendo,"Miscellaneous, General, General"
,Fire Emblem: Awakening - The Radiant Hero,3DS,4/25/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Harvest Scramble,3DS,4/25/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Roster Rescue,3DS,4/25/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
62,LEGO City Undercover: The Chase Begins,3DS,4/21/2013,6.6,E10+,"""Travellers Tales""","Action Adventure, Fantasy, General, Fantasy"
,Fire Emblem: Awakening - Five-Anna Firefight,3DS,4/18/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
68,Dillons Rolling Western: The Last Ranger,3DS,4/11/2013,7,E10+,Vanpool,"Action, General, General"
,Fire Emblem: Awakening - Rogues and Redeemers 3,3DS,4/11/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - The Wellspring of Truth,3DS,4/11/2013,7,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Deaths Embrace,3DS,4/11/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Rogues and Redeemers 2,3DS,4/4/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
73,HarmoKnight,3DS,3/28/2013,7.5,E,Game Freak,"Action, Miscellaneous, Rhythm, Music, Music"
,Fire Emblem: Awakening - Ghost of Blade,3DS,3/28/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Rogues and Redeemers 1,3DS,3/28/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Smash Brethren 3,3DS,3/28/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
86,Luigis Mansion: Dark Moon,3DS,3/24/2013,8.5,E,Next Level Games,"Action Adventure, Fantasy, General, Fantasy"
59,Pokemon Mystery Dungeon: Gates to Infinity,3DS,3/24/2013,6.3,E,"Nintendo,  Spike Chunsoft","General, Role-Playing, Console-style RPG, Console-style RPG, Roguelike"
,Fire Emblem: Awakening - Smash Brethren 2,3DS,3/21/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
80,LEGO City Undercover,WIIU,3/18/2013,8.2,E10+,TT Games,"Action Adventure, Fantasy, General, Fantasy, Open-World"
,Fire Emblem: Awakening - Smash Brethren 1,3DS,3/14/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Lost Bloodlines 3,3DS,3/14/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - A Hard Miracle,3DS,3/13/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
62,Kersploosh!,3DS,3/7/2013,7,E,Poisoft,"Miscellaneous, General, General"
,Fire Emblem: Awakening - Lost Bloodlines 2,3DS,3/7/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Infinite Regalia,3DS,3/7/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - EXPonential Growth,3DS,2/28/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Irreconcilable Paths,3DS,2/28/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Lost Bloodlines 1,3DS,2/21/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Wii Street U,WIIU,2/14/2013,5.9,,Nintendo,"Miscellaneous, General, Application"
,Fire Emblem: Awakening - Champions of Yore 3,3DS,2/14/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - The Golden Gaffe,3DS,2/14/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - The Dead Kings Lament,3DS,2/14/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
69,Brain Age: Concentration Training,3DS,2/10/2013,7.3,E,Nintendo,"Edutainment, Miscellaneous, Edutainment"
,Fire Emblem: Awakening - Champions of Yore 2,3DS,2/7/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
92,Fire Emblem: Awakening,3DS,2/4/2013,9.1,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
,Fire Emblem: Awakening - Champions of Yore 1,3DS,1/31/2013,,T,Intelligent Systems,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics"
68,Tokyo Crash Mobs,3DS,1/17/2013,7.4,E,Mitchell,"Miscellaneous, Puzzle, General, Puzzle, General"
78,Fluidity: Spin Cycle,3DS,12/27/2012,6.6,E,Curve Studios,"Action, Platformer, Platformer, 2D, 2D"
,New Super Mario Bros. 2: Mystery Adventure Pack,3DS,12/20/2012,7.7,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
,New Super Mario Bros. 2: Impossible Pack,3DS,12/20/2012,7.5,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
,New Super Mario Bros. 2: Coin Challenge Pack C,3DS,12/5/2012,7.6,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
,New Super Mario Bros. 2: Platform Panic Pack,3DS,12/5/2012,7,E,Nintendo,"Action, Platformer, Platformer, 3D, 2D"
,New Super Mario Bros. 2: Gold Classics Pack,3DS,11/27/2012,7.1,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
86,Crashmo,3DS,11/22/2012,8.2,E,Intelligent Systems,"Miscellaneous, Puzzle, Action, Puzzle, Action"
84,New Super Mario Bros. U,WIIU,11/18/2012,8,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
69,Ninja Gaiden 3: Razors Edge,WIIU,11/18/2012,7.5,M,Team Ninja,"Action, Action Adventure, Platformer, General, Platformer, 3D, 3D"
60,SiNG Party,WIIU,11/18/2012,5.5,E10+,FreeStyleGames,"Action, Miscellaneous, Rhythm, Music, Music"
77,Nintendo Land,WIIU,11/18/2012,7.9,E10+,Nintendo,"Miscellaneous, Party, Party, Party / Minigame"
75,Paper Mario: Sticker Star,3DS,11/11/2012,5.5,E,Intelligent Systems,"Action Adventure, General, Fantasy, Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style"
59,Pokedex 3D Pro,3DS,11/8/2012,4.3,E,Creatures Inc.,"Miscellaneous, General, General, Application"
63,"Freakyforms Deluxe: Your Creations, Alive!",3DS,11/5/2012,7.5,E,"Asobism,  Co. ltd.","Miscellaneous, General, General"
82,Professor Layton and the Miracle Mask,3DS,10/28/2012,8.1,E10+,Level 5,"Puzzle, Miscellaneous, Puzzle, General, Puzzle, General"
,New Super Mario Bros. 2: Coin Challenge Pack B,3DS,10/25/2012,7.1,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
,New Super Mario Bros. 2: Gold Mushroom Pack,3DS,10/25/2012,7.5,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
76,Style Savvy: Trendsetters,3DS,10/22/2012,7.6,E,syn Sophia,"Simulation, Miscellaneous, General, General, Virtual, Career"
67,Sparkle Snapshots 3D,3DS,10/18/2012,,,"Atlus Co.,  Atlus","Miscellaneous, General, General"
,Wii Sports/Wii Sports Resort,WII,10/15/2012,8.8,E,Nintendo,"Miscellaneous, Compilation, Compilation"
80,Pokemon Black Version 2,DS,10/7/2012,7.8,E,Game Freak,"Role-Playing, Console-style RPG, Console-style RPG, Trainer"
80,Pokemon White Version 2,DS,10/7/2012,7.9,E,Game Freak,"Role-Playing, Console-style RPG, Console-style RPG, Trainer"
54,Pokemon Dream Radar,3DS,10/7/2012,5.7,E,Creatures Inc.,"Action, General, Miscellaneous, General, General"
,New Super Mario Bros. 2: Coin Challenge Pack A,3DS,10/4/2012,7.9,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
,New Super Mario Bros. 2: Gold Rush Pack,3DS,10/4/2012,7.3,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
,New Super Mario Bros. 2: Nerve-Wrack Pack,3DS,10/4/2012,7.5,E,Nintendo,"Action, Platformer, Platformer, 2D, 2D"
81,Art Academy: Lessons for Everyone,3DS,10/1/2012,7.6,E,"Nintendo,  Headstrong Games","Miscellaneous, Edutainment, Edutainment"
,Art Academy: Lessons for Everyone,3DS,10/1/2012,,E,"Nintendo,  Headstrong Games","Miscellaneous, Edutainment, Edutainment"
